  time(s)                   velocity(m/s)             uncertainty_velo(m/s)   
   3.6749999999999998e+00	  -1.6599999999999904e+00	 0.05
   3.7000000000000002e+00	  -1.4399999999999935e+00   0.3	
   3.7250000000000001e+00	  -1.1800000000000075e+00	 0.2
   3.7500000000000000e+00	  -9.4000000000000195e-01	 0.2
   3.7749999999999999e+00	  -7.0000000000000084e-01	 0.1
   3.7999999999999998e+00	  -4.5999999999999797e-01	 0.1
   3.8250000000000002e+00	  -2.3999999999999894e-01	 0.1
   3.8500000000000001e+00	   0.0000000000000000e+00	 0.3
   3.8750000000000000e+00	   2.6000000000000117e-01	 0.3
   3.8999999999999999e+00	   5.0000000000000222e-01	 0.4
   3.9249999999999998e+00	   7.3999999999999666e-01	 0.4
   3.9500000000000002e+00	   9.7999999999999343e-01	 0.4
   3.9750000000000001e+00	   1.2200000000000033e+00	 0.4
   4.0000000000000000e+00	   1.5599999999999933e+00	 0.8
   4.0250000000000004e+00	   1.8600000000000058e+00	 0.9
